Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A TM2,CDL2,3.5,0.4375
Chain A TM2,POPE,51.0,6.375
Chain A TM2,POPG,7.0,0.875
Chain B TM2,CDL2,0.5,0.0625
Chain B TM2,POPE,54.0,6.75
Chain B TM2,POPG,13.0,1.625
Chain A TM1,CDL2,2.0,0.6666666666666666
Chain A TM1,POPE,49.0,16.333333333333332
Chain A TM1,POPG,15.0,5.0
Chain B TM1,CDL2,11.5,3.8333333333333335
Chain B TM1,POPE,45.0,15.0
Chain B TM1,POPG,8.0,2.6666666666666665
Chain B NBD,CDL2,3.0,3.0
Chain B NBD,POPE,17.0,17.0
Chain B NBD,POPG,4.0,4.0
Chain A NBD,CDL2,0.0,0.0
Chain A NBD,POPE,18.0,18.0
Chain A NBD,POPG,4.0,4.0
