Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A TM2,CDL2,0.5,0.07142857142857142
Chain A TM2,POPE,48.0,6.857142857142857
Chain A TM2,POPG,17.0,2.4285714285714284
Chain B TM2,CDL2,9.0,1.2857142857142858
Chain B TM2,POPE,29.0,4.142857142857143
Chain B TM2,POPG,17.0,2.4285714285714284
Chain A TM1,CDL2,8.0,1.6
Chain A TM1,POPE,75.0,15.0
Chain A TM1,POPG,27.0,5.4
Chain B TM1,CDL2,19.5,3.9
Chain B TM1,POPE,64.0,12.8
Chain B TM1,POPG,25.0,5.0
Chain A NBD,CDL2,2.0,2.0
Chain A NBD,POPE,18.0,18.0
Chain A NBD,POPG,4.0,4.0
Chain B NBD,CDL2,2.0,2.0
Chain B NBD,POPE,16.0,16.0
Chain B NBD,POPG,4.0,4.0
